logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:50:45,064Z", "level": "INFO", "component": "o.e.n.Node", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "initialized" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:50:45,071Z", "level": "INFO", "component": "o.e.n.Node", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "starting ..." }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:50:47,800Z", "level": "INFO", "component": "o.e.t.TransportService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "publish_address {172.20.0.4:9300}, bound_addresses {0.0.0.0:9300}" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:50:50,950Z", "level": "INFO", "component": "o.e.c.c.Coordinator", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "setting initial configuration to VotingConfiguration{INzE_ZB3RAelqlA60KOTrg}" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:50:52,152Z", "level": "INFO", "component": "o.e.c.s.MasterService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "elected-as-master ([1] nodes joined)[{83b1d7cb550a}{INzE_ZB3RAelqlA60KOTrg}{eSReH_IWRsKCqX-b1G7k1Q}{172.20.0.4}{172.20.0.4:9300}{dilmrt}{ml.machine_memory=4124983296, xpack.installed=true, transform.node=true, ml.max_open_jobs=20} elect leader, _BECOME_MASTER_TASK_, _FINISH_ELECTION_], term: 1, version: 1, delta: master node changed {previous [], current [{83b1d7cb550a}{INzE_ZB3RAelqlA60KOTrg}{eSReH_IWRsKCqX-b1G7k1Q}{172.20.0.4}{172.20.0.4:9300}{dilmrt}{ml.machine_memory=4124983296, xpack.installed=true, transform.node=true, ml.max_open_jobs=20}]}" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:50:53,963Z", "level": "INFO", "component": "o.e.c.c.CoordinationState", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "cluster UUID set to [7yR7h5R0T-2LiZO98j-U1w]" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:50:54,226Z", "level": "INFO", "component": "o.e.c.s.ClusterApplierService", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "master node changed {previous [], current [{83b1d7cb550a}{INzE_ZB3RAelqlA60KOTrg}{eSReH_IWRsKCqX-b1G7k1Q}{172.20.0.4}{172.20.0.4:9300}{dilmrt}{ml.machine_memory=4124983296, xpack.installed=true, transform.node=true, ml.max_open_jobs=20}]}, term: 1, version: 1, reason: Publication{term=1, version=1}" }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:50:55,653Z", "level": "INFO", "component": "o.e.h.AbstractHttpServerTransport", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "publish_address {172.20.0.4:9200}, bound_addresses {0.0.0.0:9200}", "cluster.uuid": "7yR7h5R0T-2LiZO98j-U1w", "node.id": "INzE_ZB3RAelqlA60KOTrg"  }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:50:55,655Z", "level": "INFO", "component": "o.e.n.Node", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "started", "cluster.uuid": "7yR7h5R0T-2LiZO98j-U1w", "node.id": "INzE_ZB3RAelqlA60KOTrg"  }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:50:56,019Z", "level": "INFO", "component": "o.e.x.c.t.IndexTemplateRegistry", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "adding index template [.watch-history-11] for [watcher], because it doesn't exist", "cluster.uuid": "7yR7h5R0T-2LiZO98j-U1w", "node.id": "INzE_ZB3RAelqlA60KOTrg"  }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:50:56,022Z", "level": "INFO", "component": "o.e.x.c.t.IndexTemplateRegistry", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "adding index template [.triggered_watches] for [watcher], because it doesn't exist", "cluster.uuid": "7yR7h5R0T-2LiZO98j-U1w", "node.id": "INzE_ZB3RAelqlA60KOTrg"  }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:50:56,038Z", "level": "INFO", "component": "o.e.x.c.t.IndexTemplateRegistry", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "adding index template [.watches] for [watcher], because it doesn't exist", "cluster.uuid": "7yR7h5R0T-2LiZO98j-U1w", "node.id": "INzE_ZB3RAelqlA60KOTrg"  }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:50:56,424Z", "level": "INFO", "component": "o.e.x.c.t.IndexTemplateRegistry", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "adding index template [.ml-anomalies-] for [ml], because it doesn't exist", "cluster.uuid": "7yR7h5R0T-2LiZO98j-U1w", "node.id": "INzE_ZB3RAelqlA60KOTrg"  }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:50:56,455Z", "level": "INFO", "component": "o.e.x.c.t.IndexTemplateRegistry", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "adding index template [.ml-state] for [ml], because it doesn't exist", "cluster.uuid": "7yR7h5R0T-2LiZO98j-U1w", "node.id": "INzE_ZB3RAelqlA60KOTrg"  }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:50:56,539Z", "level": "INFO", "component": "o.e.x.c.t.IndexTemplateRegistry", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "adding index template [.ml-config] for [ml], because it doesn't exist", "cluster.uuid": "7yR7h5R0T-2LiZO98j-U1w", "node.id": "INzE_ZB3RAelqlA60KOTrg"  }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:50:56,560Z", "level": "INFO", "component": "o.e.x.c.t.IndexTemplateRegistry", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "adding index template [.ml-inference-000002] for [ml], because it doesn't exist", "cluster.uuid": "7yR7h5R0T-2LiZO98j-U1w", "node.id": "INzE_ZB3RAelqlA60KOTrg"  }
logging-stack-elasticsearch-1  | {"type": "server", "timestamp": "2023-07-28T22:50:56,585Z", "level": "INFO", "component": "o.e.x.c.t.IndexTemplateRegistry", "cluster.name": "docker-cluster", "node.name": "83b1d7cb550a", "message": "adding index template [.ml-meta] for [ml], because it doesn't exist", "cluster.uuid": "7yR7h5R0T-2LiZO98j-U1w", "node.id": "INzE_ZB3RAelqlA60KOTrg"  }
